Id,Id2,Id3,Geography,Total Workers,Drove Alone,Carpooled,Walked or Biked,"Public Transportation, Taxi, or Motorcycle",Worked From Home,Work In State of Residence,InCounty,OutCounty,Work Outside State of Residence,Total Commuters,Left Between 12am and 4am,Left Between 5am and 6am,Left Between 6am and 7am,Left Between 7am and 8am,Left Between 8am and 9am,Left Between 9am and 12pm,Less Than 10 Minutes,10-19 Minutes,20-29 Minutes,30-44 Minutes,45-59 Minutes,60 Minutes or more,MeanTravel
0500000US27055,27055,id27055,"Houston County, Minnesota",9609,7678,769,336,231,605,5122,45.3,8,4487,9003,585,1125,1909,2998,945,1440,1963,3043,1522,1567,504,414,21.3
0500000US27161,27161,id27161,"Waseca County, Minnesota",9330,7464,867,280,149,569,9255,61.4,37.8,75,8763,666,929,1884,2559,824,1910,2769,2296,1805,1113,307,473,20.1
0500000US27057,27057,id27057,"Hubbard County, Minnesota",9329,7435,886,336,121,560,9142,58.5,39.4,187,8770,281,649,1552,2929,1342,2008,2026,3017,1815,1026,342,535,21.6
0500000US55053,55053,id55053,"Jackson County, Wisconsin",9035,7237,957,253,117,470,8899,69.6,28.9,136,8567,788,1114,1474,2287,737,2159,2210,2664,1302,1319,514,574,21.7
0500000US55047,55047,id55047,"Green Lake County, Wisconsin",8903,7042,811,401,196,445,8832,51.4,47.7,71,8457,846,1201,1768,2089,651,1903,1970,2224,1700,1378,626,567,23.1
0500000US55067,55067,id55067,"Langlade County, Wisconsin",8814,6998,785,503,149,388,8743,80.2,19,71,8428,565,1214,1525,2174,801,2149,2680,2764,927,919,632,497,20.5
0500000US55125,55125,id55125,"Vilas County, Wisconsin",8809,7012,670,493,88,546,8633,73.4,24.6,176,8261,281,636,1305,2743,1338,1966,2131,3156,1338,1041,297,297,19
0500000US55065,55065,id55065,"Lafayette County, Wisconsin",8514,6462,706,485,94,758,7739,49.9,41,775,7753,620,992,1783,2248,690,1427,2000,1675,1365,1574,519,628,24.9
0500000US55103,55103,id55103,"Richland County, Wisconsin",8239,6649,667,346,91,486,8181,64.4,34.9,58,7753,589,1140,1287,1791,907,2039,1814,2194,1380,1248,411,713,23.6
0500000US27135,27135,id27135,"Roseau County, Minnesota",8180,6037,1349,295,147,352,8106,94.7,4.4,74,7831,854,1042,1488,2083,736,1629,2944,2349,1112,932,243,258,16.6
0500000US27143,27143,id27143,"Sibley County, Minnesota",7648,5942,788,291,54,574,7602,47.6,51.9,46,7071,573,1089,1520,1867,721,1301,1626,1591,1061,1584,679,530,25
0500000US27127,27127,id27127,"Redwood County, Minnesota",7506,5810,654,383,61,593,7453,77.5,21.8,53,6913,214,553,1293,2482,989,1376,2731,1908,995,726,325,228,16.6
0500000US55023,55023,id55023,"Crawford County, Wisconsin",7476,6011,643,284,97,441,6953,68.7,24.2,523,7035,415,1175,1147,1780,718,1801,2026,1914,1090,985,492,521,23.4
0500000US55001,55001,id55001,"Adams County, Wisconsin",7456,5965,917,149,119,306,7285,43.9,53.9,171,7148,586,908,1387,1694,751,1823,1072,1587,1573,1394,786,743,28.5
0500000US27129,27129,id27129,"Renville County, Minnesota",7396,5865,562,318,96,555,7366,67.3,32.3,30,6841,308,595,1601,2271,814,1245,2333,1936,1122,889,294,267,18.4
0500000US27113,27113,id27113,"Pennington County, Minnesota",7381,5506,989,325,207,362,7256,92.1,6.2,125,7023,218,688,1257,2247,1208,1405,2900,2627,548,485,183,288,15
0500000US55003,55003,id55003,"Ashland County, Wisconsin",7175,5503,696,502,115,359,7067,79,19.5,108,6816,409,716,1268,1936,913,1574,2440,2283,941,525,245,375,18.1
0500000US27065,27065,id27065,"Kanabec County, Minnesota",7022,5653,765,133,133,337,6868,47.4,50.5,154,6687,702,1010,1130,1705,629,1505,1264,1471,1016,1197,508,1224,32.1
0500000US27043,27043,id27043,"Faribault County, Minnesota",6952,5450,570,341,63,535,6709,71.7,24.7,243,6419,295,610,1354,2163,745,1258,2337,1598,899,950,372,263,19.2
0500000US55113,55113,id55113,"Sawyer County, Wisconsin",6939,5405,700,298,104,423,6772,84.7,12.9,167,6515,208,443,893,2384,932,1661,1948,2319,945,684,254,365,19.2
0500000US55007,55007,id55007,"Bayfield County, Wisconsin",6774,5114,691,386,122,467,6415,57,37.7,359,6306,202,612,1343,2043,889,1217,1564,1583,1198,1003,486,479,23.8
0500000US55011,55011,id55011,"Buffalo County, Wisconsin",6749,5001,823,344,74,513,5109,46,29.7,1640,6239,555,842,1129,1847,549,1310,1454,1479,1086,1422,449,362,24.1
