Id,Id2,Geography,Workers 16 years and over,CarAlone,Carpool,Public,WalkedOrBiked,TaxiMotorOther,WorkedAtHome,InState,InCounty,OutCounty,OutState,Time
0500000US55071,55071,"Manitowoc County, Wisconsin",40231,84.1,7.6,0.4,3.8,0.9,3.2,99.4,77.3,22.1,0.6,19.2
0500000US55073,55073,"Marathon County, Wisconsin",68815,81.8,9.3,0.4,2.9,1.1,4.5,99.4,85.4,14,0.6,18.9
0500000US55075,55075,"Marinette County, Wisconsin",18219,82.6,9.3,0.4,4,0.9,2.7,85.9,74.3,11.6,14.1,20.8
0500000US55077,55077,"Marquette County, Wisconsin",6718,79.2,11.8,0.4,3.3,1.3,4.1,98.9,45.8,53.2,1.1,28.9
0500000US55078,55078,"Menominee County, Wisconsin",1405,73.5,18.4,3.1,2.9,0,2.3,99.2,84.6,14.6,0.8,17
0500000US55079,55079,"Milwaukee County, Wisconsin",431099,76.2,9.8,6,4.5,0.7,2.8,99.2,80.3,18.9,0.8,22.2
0500000US55081,55081,"Monroe County, Wisconsin",20914,80.9,9.6,0.3,3,2.2,4,99.3,79.3,20,0.7,19.8
0500000US55083,55083,"Oconto County, Wisconsin",18517,82,10.1,0.2,2.1,0.8,4.9,98.8,43.7,55.1,1.2,26
0500000US55085,55085,"Oneida County, Wisconsin",16360,82,8.8,0.1,2.9,0.9,5.3,99,80.4,18.6,1,20
0500000US55087,55087,"Outagamie County, Wisconsin",93181,84.5,6.9,0.8,2.9,1.1,3.8,99.4,65.3,34.2,0.6,19.8
0500000US55089,55089,"Ozaukee County, Wisconsin",44121,84.5,6.6,0.5,2,0.8,5.5,99,49.7,49.3,1,23.6
0500000US55091,55091,"Pepin County, Wisconsin",3588,75.3,8.7,0.2,6.6,0.8,8.4,90.2,53.8,36.4,9.8,24.4
0500000US55093,55093,"Pierce County, Wisconsin",22114,78.7,8.2,0.1,7.3,0.6,5.1,58.1,35.9,22.2,41.9,26.8
0500000US55095,55095,"Polk County, Wisconsin",20709,80.6,10.1,0.2,2.6,0.9,5.6,77.9,61,16.9,22.1,29.3
0500000US55097,55097,"Portage County, Wisconsin",35069,80.1,8.1,0.4,7.1,0.8,3.6,99.1,79.9,19.2,0.9,19.2
0500000US55099,55099,"Price County, Wisconsin",6579,78.6,9.9,0,5.4,1.4,4.7,99.4,85.5,13.9,0.6,19
0500000US55101,55101,"Racine County, Wisconsin",89005,83.8,8.3,1.4,2.1,1.2,3.1,96.8,63.7,33.2,3.2,23.5
0500000US55103,55103,"Richland County, Wisconsin",8239,80.7,8.1,0.3,4.2,0.8,5.9,99.3,64.4,34.9,0.7,23.6
0500000US55105,55105,"Rock County, Wisconsin",73689,81.6,10.1,0.6,2.6,0.9,4.3,91.8,69.4,22.4,8.2,23.1
0500000US55107,55107,"Rusk County, Wisconsin",6333,76.7,10.6,0.3,4.3,0.7,7.5,98.3,78.1,20.2,1.7,21.5
0500000US55109,55109,"St. Croix County, Wisconsin",44683,82.6,8.9,0.3,2.4,0.6,5.1,56.6,48.7,7.9,43.4,27.9
0500000US55111,55111,"Sauk County, Wisconsin",32320,80.3,10,0.1,4.4,1,4.2,99.3,77.3,22,0.7,21.5
0500000US55113,55113,"Sawyer County, Wisconsin",6939,77.9,10.1,0.9,4.3,0.6,6.1,97.6,84.7,12.9,2.4,19.2
0500000US55115,55115,"Shawano County, Wisconsin",19767,79.2,9.7,0.1,3.7,0.6,6.7,99.6,59.1,40.5,0.4,22.9
0500000US55117,55117,"Sheboygan County, Wisconsin",57751,84.4,8.1,0.5,3,0.8,3.2,99.6,84.5,15.1,0.4,18.2
0500000US55119,55119,"Taylor County, Wisconsin",9950,76.5,9.7,0.5,4.7,1.6,7,99.5,75.4,24.1,0.5,21.7
0500000US55121,55121,"Trempealeau County, Wisconsin",14770,80.5,9.3,0.1,4.6,1.1,4.3,93.4,68.2,25.2,6.6,21.1
0500000US55123,55123,"Vernon County, Wisconsin",13166,76.9,8.4,0.7,5.2,1.6,7.3,98.2,60.6,37.6,1.8,23.5
0500000US55125,55125,"Vilas County, Wisconsin",8809,79.6,7.6,0.2,5.6,0.8,6.2,98,73.4,24.6,2,19
0500000US55127,55127,"Walworth County, Wisconsin",51089,81.1,9.2,0.7,4,0.9,4.1,89.5,61.8,27.7,10.5,24.9
0500000US55129,55129,"Washburn County, Wisconsin",6646,80.1,8.4,0.2,3.5,1.5,6.3,96.5,66.8,29.7,3.5,21.7
0500000US55131,55131,"Washington County, Wisconsin",70240,85,8.2,0.5,1.9,0.9,3.5,99.3,48.8,50.4,0.7,24.6
0500000US55133,55133,"Waukesha County, Wisconsin",203136,86.2,6.5,0.6,1.6,0.7,4.5,99,63.1,35.9,1,24
0500000US55135,55135,"Waupaca County, Wisconsin",24897,82.4,9.1,0.3,3.8,0.9,3.5,99.3,63.5,35.8,0.7,22
0500000US55137,55137,"Waushara County, Wisconsin",10134,78,12.3,0.5,2.5,1.5,5.1,99,50.4,48.6,1,26.7
0500000US55139,55139,"Winnebago County, Wisconsin",84095,84.8,7.4,1,3.2,0.7,3.1,99.5,72.6,26.9,0.5,18.6
0500000US55141,55141,"Wood County, Wisconsin",35497,82.7,7.9,0.2,4.6,1,3.5,99.6,79.7,19.9,0.4,19.1
