Id,Id2,Geography,TotWorkers,DroveAlone,twoCarpool,threeCarpool,fourCarpool,PublicTrans,Walked,Bike,TaxiMotoOther,WorkedFromHome,InState,InCounty,OutCounty,OutState,TotCommuters,124,5,6,7,8,912,lt10,1019,2029,3044,4559,60plus,MeanTravel
0500000US27053,27053,"Hennepin County, Minnesota",623276,458108,40513,5609,4363,46122,20568,10596,5609,31787,99.2,81,18.1,0.8,591786,2.7,6.1,16.4,29.7,19.6,25.5,9.7,32,28.3,21.4,5,3.5,23
0500000US55079,55079,"Milwaukee County, Wisconsin",431099,328497,33626,5173,3449,25866,16382,3018,3018,12071,99.2,80.3,18.9,0.8,419084,3.9,8.1,18,26.6,14.4,29.1,11.4,34.4,26.9,18.9,4.4,4,22.2
0500000US55025,55025,"Dane County, Wisconsin",275925,200322,18487,3035,1380,14072,15728,8278,2207,12417,99.2,94.5,4.7,0.8,263619,2.5,5.9,17.1,33.1,17.1,24.3,14.7,35.4,26,17.1,3.6,3.2,20.9
0500000US27123,27123,"Ramsey County, Minnesota",256575,191148,18730,2566,2566,15908,7954,2566,2053,13085,98.9,55,44,1.1,243523,2.7,7.1,18.2,27,17.6,27.4,9.9,33.3,27.3,20.4,5.3,3.9,23.1
0500000US27037,27037,"Dakota County, Minnesota",215803,177606,13811,1726,863,7121,2374,647,1726,9711,99,47.9,51.1,1,206092,3.1,7.7,21.9,28.6,14.7,23.8,12.6,27,24.6,24.2,7.7,3.9,24.1
0500000US55133,55133,"Waukesha County, Wisconsin",203136,175103,10766,1625,1016,1219,2844,406,1422,9141,99,63.1,35.9,1,194083,3.5,7.9,21.1,31.1,15.6,20.8,12.5,28.5,26.3,22,6.6,4.1,24
0500000US27003,27003,"Anoka County, Minnesota",175464,143880,12282,1930,1053,5790,1930,351,1053,7019,99.4,39,60.4,0.6,168360,4.4,11.6,23.7,24.7,12,23.6,8,23.2,23.2,27.6,11.1,7,28
0500000US27163,27163,"Washington County, Minnesota",126519,104758,9109,1012,633,2783,1265,380,759,5820,97.4,36,61.4,2.6,120722,3.1,8.3,22.4,28.2,15.5,22.5,11.5,24.1,24.6,25.4,9.5,4.9,25.7
0500000US55009,55009,"Brown County, Wisconsin",126141,105202,7821,1261,757,1009,3154,505,1640,4919,99.6,89.7,9.8,0.4,121269,6.1,10.6,20.6,28.2,11.1,23.7,16.9,45,22.2,9.7,3,3.1,18.7
0500000US55087,55087,"Outagamie County, Wisconsin",93181,78738,5125,839,373,745,2143,559,1025,3541,99.4,65.3,34.2,0.6,89652,5.7,11.4,20,29.6,10.3,23,16.4,40.8,23.5,13.4,3,2.8,19.8
